2021-12-30T01:20:57+05:30
Running ./updbenchmark
Run on (8 X 1100 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 512 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 1.89, 1.99, 2.09
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Updation_OverLL_Wraper/2",21129,68498.7,67880.8,ns,,29463.4,"2",,
"BM_Updation_OverLL_Wraper/4",10000,68389,68093.4,ns,,58742.8,"4",,
"BM_Updation_OverLL_Wraper/8",10000,140339,139208,ns,,57468,"8",,
"BM_Updation_OverLL_Wraper/16",10000,270889,269886,ns,,59284.2,"16",,
"BM_Updation_OverLL_Wraper/32",6703,456897,448453,ns,,71356.4,"32",,
"BM_Updation_OverLL_Wraper/64",2666,436775,433651,ns,,147584,"64",,
"BM_Updation_OverLL_Wraper/128",1316,812968,807353,ns,,158543,"128",,
"BM_Updation_OverLL_Wraper/256",368,2.05233e+06,2.03608e+06,ns,,125732,"256",,
"BM_Updation_OverLL_Wraper/512",91,7.66068e+06,7.56696e+06,ns,,67662.6,"512",,
"BM_Updation_OverLL_Wraper/1024",23,3.08143e+07,3.04678e+07,ns,,33609.2,"1024",,
"BM_Updation_OverLL_Wraper_BigO",,21.5495,21.3062,N,,,"2",,
"BM_Updation_OverLL_Wraper_RMS",,0.65557,0.655512,,,,"2",,
