2022-01-20T19:26:39+05:30
Running ./mybenchmark
Run on (8 X 1100 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 512 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 2.81, 2.34, 2.03
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_queue_Wraper/1",414184,2576.71,2474.25,ns,,404162,"1",,
"BM_queue_Wraper/2",231298,3323.42,3153.59,ns,,634197,"2",,
"BM_queue_Wraper/4",235392,3684.81,3476.73,ns,,1.15051e+06,"4",,
"BM_queue_Wraper/8",208079,4047.76,3840.83,ns,,2.08288e+06,"8",,
"BM_queue_Wraper/16",130780,5743.25,5604.74,ns,,2.85473e+06,"16",,
"BM_queue_Wraper/32",86427,10138.9,9856.43,ns,,3.24661e+06,"32",,
"BM_queue_Wraper/64",36748,19782.1,19584.9,ns,,3.26783e+06,"64",,
"BM_queue_Wraper/128",10000,56492,55571.2,ns,,2.30335e+06,"128",,
"BM_queue_Wraper/256",5353,156016,154632,ns,,1.65554e+06,"256",,
"BM_queue_Wraper_BigO",,559.73,554.021,N,,,"1",,
"BM_queue_Wraper_RMS",,0.309769,0.314721,,,,"1",,
