2022-01-20T15:35:55+05:30
Running ./mybenchmark
Run on (8 X 1100 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 512 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 1.87, 1.77, 1.83
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_STACK_Wraper/1",392661,1747.43,1745.1,ns,,573034,"1",,
"BM_STACK_Wraper/2",404952,1730.01,1727.79,ns,,1.15755e+06,"2",,
"BM_STACK_Wraper/4",387518,1802.4,1797.48,ns,,2.22534e+06,"4",,
"BM_STACK_Wraper/8",356305,1930.11,1927.92,ns,,4.14955e+06,"8",,
"BM_STACK_Wraper/16",318657,2252.44,2235.6,ns,,7.1569e+06,"16",,
"BM_STACK_Wraper/32",264999,2543.47,2540.07,ns,,1.25981e+07,"32",,
"BM_STACK_Wraper/64",207644,3363.12,3355.18,ns,,1.9075e+07,"64",,
"BM_STACK_Wraper/128",136383,5089.88,5075.67,ns,,2.52183e+07,"128",,
"BM_STACK_Wraper/256",81697,8458.18,8436.39,ns,,3.03447e+07,"256",,
"BM_STACK_Wraper/512",45488,15327.9,15297.1,ns,,3.34703e+07,"512",,
"BM_STACK_Wraper/1024",24584,29145.5,29099.3,ns,,3.51898e+07,"1024",,
"BM_STACK_Wraper/2048",12632,56772,56664,ns,,3.61429e+07,"2048",,
"BM_STACK_Wraper/4096",6323,113256,113011,ns,,3.62443e+07,"4096",,
"BM_STACK_Wraper/8192",3151,227307,226924,ns,,3.61002e+07,"8192",,
"BM_STACK_Wraper/16384",1548,454759,454193,ns,,3.60728e+07,"16384",,
"BM_STACK_Wraper/32768",762,903151,901882,ns,,3.63329e+07,"32768",,
"BM_STACK_Wraper_BigO",,27.6102,27.5716,N,,,"1",,
"BM_STACK_Wraper_RMS",,0.013166,0.0131739,,,,"1",,
